Token,ObjectType,TokenType,HighValueReason,KnownLabel
HV_PRINCIPAL_d0d3b2dc110edc37331bc7ba,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_7582b0f4559d9abeedcf4576,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_269feb52054ed303f13cdd5a,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_c35b2fe431ba96caa0f7bba4,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_e4151d7c6e58833beac1ea47,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_1081abd7381cf4f91c714de7,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_114135f90d4e2b8b14fb22f6,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_ec59e8046aba6e963200b8c2,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_393044d07d33b3e7109d6e48,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_071d15727b1074a762581a8d,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_ee12a26d5a34adbe95c1c4dd,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_33c948cb507ecaeaa018caff,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_ff42a3a6b5cc1092e04d50e1,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_aaf037d8ec13868014105773,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_c19cf21416be49f1c47a5acd,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_291543e580502793d4bb7431,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_5295836289fb20e5e457d2ab,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_350c74cb5ac4545c093a7080,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_1b3360f44e35bd6578a9c094,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_d5e84afd1c416fce7c87fad2,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_43941e9b891aaaea14220e0e,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_c87bc48d9507efcd125ad264,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_365d7cdbc4f437129f6c86c4,user,HV_PRINCIPAL,Delegated control plane,
