Token,ObjectType,TokenType,HighValueReason,KnownLabel
HV_PRINCIPAL_5d256c4b4cdb9a3359179028,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_b4bfe5aab901d0e5094f01a2,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_b941afe8a3a2b6ac8ffc3327,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_8947a7d7b880673804c6473b,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_ad0755aff055efd21d784c09,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_7e4a4fc64c98de7b3623eb2c,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_3ff997d7afdf1383b883c2b5,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_df4e963f36720e350df5ad8b,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_8b78d60b50af3bd4921f5f88,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_050329b82c059380b78be60e,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_5947102b6a8fd9de524a0bed,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_532adcaf9a23b38c07798780,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_df9a2b438368b66fbcfd7a5b,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_90342767ac997ef3000f8991,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_084bf42513bf87b7467a7bc2,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_086c2cae81ee92da8af8d6c8,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_302f19a8cba1e443b1f31164,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_b6cc40247cc907e8e56506bf,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_6423df4ee48120994b63055a,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_802ddf673e41cd3b77651c18,user,HV_PRINCIPAL,Delegated control plane,
